Image,Eye Ball Distance,Eye Distance,Eye Width,Face Width,Nose Length,Nose Width,Lip Thickness,Left Brow Width,Brow Length,Face Length
makeup0.jpeg,0.18321462544276176,0.18321462544276176,0.14530301934598358,0.725923078389675,0.03465832491693925,0.14288506554228103,0.07453571532073319,0.06535459055234838,0.17016707552739677,0.9027185285202127
makeup1.jpeg,0.21878945707868988,0.21878945707868988,0.1793615556005342,0.7844153571727537,0.03982325778348442,0.12893385184951228,0.09061139180669138,0.14754961351299595,0.15003421626890856,0.9839226836869869
makeup1000.jpeg,0.20714851005167628,0.20714851005167628,0.16517273750438935,0.7890679905662947,0.03699847025086414,0.13133567426082227,0.00032780064683334757,0.12801872081365825,0.1679257489930418,0.9341471668889683
makeup1003.jpeg,0.20958006496907539,0.20958006496907539,0.13074908200329072,0.772805950974042,0.03998755571242861,0.17808486045264574,0.001374778263275938,0.06736333139559082,0.20010939441986134,0.997740796692235
makeup1005.jpeg,0.21766064291465528,0.21766064291465528,0.1785132358360765,0.8475295736149706,0.0360285120505383,0.14523432177123968,0.03797101072074674,0.09226544976734592,0.1841695675753623,0.9640539133141146
makeup1007.jpeg,0.18821870098548096,0.18821870098548096,0.1631988977734793,0.776194545975276,0.03599764263862182,0.13450464285444858,0.02424512888054217,0.07934279814637693,0.1701693639057832,0.9110907581173004
makeup1011.jpeg,0.23175161149098297,0.23175161149098297,0.19205949720389046,0.8407331857886803,0.034009229661143746,0.13697673732882037,0.004017608693960894,0.09365726471566362,0.18128221611529002,0.9910619882487016
makeup1014.jpeg,0.237332524399453,0.237332524399453,0.19790408786859873,0.8548519577604231,0.0384751364363338,0.14443376966369445,0.0005953930283257446,0.1178561885152477,0.1857743148975589,0.9653875128402769
makeup1017.jpeg,0.2694646048744975,0.2694646048744975,0.2110715500278304,0.9685907333025263,0.044988043679861124,0.17995301847234832,0.0004302684427262037,0.10002726039560618,0.20991877981788637,1.1696875613472324
makeup1026.jpeg,0.2254043838315249,0.2254043838315249,0.175277514909235,0.847664122857545,0.0380155782493779,0.15149143411222274,0.011207793618843302,0.10409309672486537,0.18914706881739557,0.990714899929159
